,,,,,IEEE Articles,,,,,,,,,,,,,,,,,,,,,,,,
,Serach Terms: ,,"All Metadata ((""Lung Cancer� ) OR (""Lung cancer diagnosis�)) AND ("" ""Deep learning�)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Filters Applied:�Journals: Early Access Articles,,"IEEE Access, IEEE Transactions on Medical Imaging, IEEE Journal of Biomedical and Health Informatics,",,,,,,,,,,,,,,,,,,,,,,,,
,,,"IEEE/ACM Transactions on Computational Biology and Bioinformatics, IEEE Transactions on Biomedical Engineering, IEEE Sensors Journal, IEEE Transactions on Image Processing",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"IEEE Transactions on Neural Networks and Learning Systems, IEEE Transactions on Visualization and Computer Graphics, cancer, lung, medical image processing, computerised tomography, learning (artificial intelligence)image classification",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"image segmentation, diseases, convolutional neural nets, patient diagnosis    2015�- 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Pulmonary Nodule Detection in CT Images: False Positive Reduction Using Multi-View Convolutional Networks,A. A. A. Setio; F. Ciompi; G. Litjens; P. Gerke; C. Jacobs; S. J. van Riel; M. M. W. Wille; M. Naqibullah; C. I. Sánchez; B. van Ginneken,"Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Department of Respiratory Medicine, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark; Department of Respiratory Medicine, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands; Diagnostic Image Analysis Group at the Department of Radiology and Nuclear Medicine, Radboud University Medical Center, Nijmegen, The Netherlands",IEEE Transactions on Medical Imaging,29-Apr-16,2016,35,5,1160,1169,"We propose a novel Computer-Aided Detection (CAD) system for pulmonary nodules using multi-view convolutional networks (ConvNets), for which discriminative features are automatically learnt from the training data. The network is fed with nodule candidates obtained by combining three candidate detectors specifically designed for solid, subsolid, and large nodules. For each candidate, a set of 2-D patches from differently oriented planes is extracted. The proposed architecture comprises multiple streams of 2-D ConvNets, for which the outputs are combined using a dedicated fusion method to get the final classification. Data augmentation and dropout are applied to avoid overfitting. On 888 scans of the publicly available LIDC-IDRI dataset, our method reaches high detection sensitivities of 85.4% and 90.1% at 1 and 4 false positives per scan, respectively. An additional evaluation on independent datasets from the ANODE09 challenge and DLCST is performed. We showed that the proposed multi-view ConvNets is highly suited to be used for false positive reduction of a CAD system.",1558-254X,,10.1109/TMI.2016.2536809,The Netherlands Organization for Scientific Research(grant numbers:639.023.207); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422783,Computed tomography;computer-aided detection;convolutional networks;deep learning;lung cancer;pulmonary nodule,Design automation;Solids;Cancer;Lungs;Computed tomography;Lesions;Feature extraction,cancer;computerised tomography;feature extraction;image classification;image fusion;medical image processing;tumours,pulmonary nodule detection;CT images;false positive reduction;multiview convolutional networks;computer-aided detection system;discriminative features;training data;nodule candidates;2D patches;differently oriented planes;multiple streams;2D ConvNets;dedicated fusion method;final classification;data augmentation;publicly available LIDC-IDRI dataset;ANODE09 challenge;multiview ConvNets;CAD system,"Algorithms;Humans;Lung Neoplasms;Machine Learning;Pattern Recognition, Automated;Radiographic Image Interpretation, Computer-Assisted;Solitary Pulmonary Nodule;Tomography, X-Ray Computed",683,17,47,IEEE,1-Mar-16,,,IEEE,IEEE Journals
Multilevel Contextual 3-D CNNs for False Positive Reduction in Pulmonary Nodule Detection,Q. Dou; H. Chen; L. Yu; J. Qin; P. Heng,"Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong; Centre for Smart Health, School of NursingThe Hong Kong Polytechnic University; Department of Computer Science and Engineering, The Chinese University of Hong Kong, Hong Kong",IEEE Transactions on Biomedical Engineering,15-Jun-17,2017,64,7,1558,1567,"Objective: False positive reduction is one of the most crucial components in an automated pulmonary nodule detection system, which plays an important role in lung cancer diagnosis and early treatment. The objective of this paper is to effectively address the challenges in this task and therefore to accurately discriminate the true nodules from a large number of candidates. Methods: We propose a novel method employing three-dimensional (3-D) convolutional neural networks (CNNs) for false positive reduction in automated pulmonary nodule detection from volumetric computed tomography (CT) scans. Compared with its 2-D counterparts, the 3-D CNNs can encode richer spatial information and extract more representative features via their hierarchical architecture trained with 3-D samples. More importantly, we further propose a simple yet effective strategy to encode multilevel contextual information to meet the challenges coming with the large variations and hard mimics of pulmonary nodules. Results: The proposed framework has been extensively validated in the LUNA16 challenge held in conjunction with ISBI 2016, where we achieved the highest competition performance metric (CPM) score in the false positive reduction track. Conclusion: Experimental results demonstrated the importance and effectiveness of integrating multilevel contextual information into 3-D CNN framework for automated pulmonary nodule detection in volumetric CT data. Significance: While our method is tailored for pulmonary nodule detection, the proposed framework is general and can be easily extended to many other 3-D object detection tasks from volumetric medical images, where the targeting objects have large variations and are accompanied by a number of hard mimics.",1558-2531,,10.1109/TBME.2016.2613502,"The Hong Kong Special Administrative Region(grant numbers:CUHK 412513); National Natural Science Foundation of China(grant numbers:61233012); Shenzhen-Hong Kong Innovation Circle(grant numbers:SGLH20131010151755080,GHP/002/13SZ); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7576695,Computer-aided diagnosis;deep learning;false positive reduction;pulmonary nodule detection;3-D convolutional neural networks,Three-dimensional displays;Feature extraction;Two dimensional displays;Computed tomography;Kernel;Cancer;Lungs,cancer;computerised tomography;feature extraction;lung;medical image processing;neural nets,automated pulmonary nodule detection system;lung cancer diagnosis;3D convolutional neural network;contextual 3D CNN;volumetric computed tomography;volumetric CT scans;feature extraction;LUNA16 challenge;ISBI 2016;competition performance metric score;CPM score;false positive reduction track;multilevel contextual information;3D object detection tasks;volumetric medical images,"Algorithms;Diagnostic Errors;False Positive Reactions;Humans;Imaging, Three-Dimensional;Machine Learning;Neural Networks (Computer);Pattern Recognition, Automated;Radiographic Image Interpretation, Computer-Assisted;Reproducibility of Results;Sensitivity and Specificity;Solitary Pulmonary Nodule;Tomography, X-Ray Computed",317,,37,IEEE,26-Sep-16,,,IEEE,IEEE Journals
