,,,,,,scopus papers,,,,,,,,,,,,,,,
Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Liu S., Yao W.",Prediction of lung cancer using gene expression and deep learning with KL divergence gene selection,2022,BMC Bioinformatics,23,1,175,,,,10.1186/s12859-022-04689-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130053389&doi=10.1186%2fs12859-022-04689-9&partnerID=40&md5=e166b30cbf4a24e708fc92f4f6db7854,"College of Public Health, Zhengzhou University, Zhengzhou, 450001, China","Liu, S., College of Public Health, Zhengzhou University, Zhengzhou, 450001, China; Yao, W., College of Public Health, Zhengzhou University, Zhengzhou, 450001, China","Background: Lung cancer is one of the cancers with the highest mortality rate in China. With the rapid development of high-throughput sequencing technology and the research and application of deep learning methods in recent years, deep neural networks based on gene expression have become a hot research direction in lung cancer diagnosis in recent years, which provide an effective way of early diagnosis for lung cancer. Thus, building a deep neural network model is of great significance for the early diagnosis of lung cancer. However, the main challenges in mining gene expression datasets are the curse of dimensionality and imbalanced data. The existing methods proposed by some researchers can’t address the problems of high-dimensionality and imbalanced data, because of the overwhelming number of variables measured (genes) versus the small number of samples, which result in poor performance in early diagnosis for lung cancer. Method: Given the disadvantages of gene expression data sets with small datasets, high-dimensionality and imbalanced data, this paper proposes a gene selection method based on KL divergence, which selects some genes with higher KL divergence as model features. Then build a deep neural network model using Focal Loss as loss function, at the same time, we use k-fold cross validation method to verify and select the best model, we set the value of k is five in this paper. Result: The deep learning model method based on KL divergence gene selection proposed in this paper has an AUC of 0.99 on the validation set. The generalization performance of model is high. Conclusion: The deep neural network model based on KL divergence gene selection proposed in this paper is proved to be an accurate and effective method for lung cancer prediction. © 2022, The Author(s).",Deep learning; Focal loss; Gene selection; Imbalanced data; KL divergence; Lung cancer prediction,"Biological organs; Diagnosis; Diseases; Forecasting; Gene expression; Cancer prediction; Deep learning; Early diagnosis; Focal loss; Gene selection; Imbalanced data; KL-divergence; Lung Cancer; Lung cancer prediction; Neural network model; Deep neural networks; China; gene expression; genetics; human; lung tumor; China; Deep Learning; Gene Expression; Humans; Lung Neoplasms; Neural Networks, Computer",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85130053389
"Li Z., Huang K., Liu L., Zhang Z.",Early detection of COPD based on graph convolutional network and small and weakly labeled data,2022,Medical and Biological Engineering and Computing,60,8,,2321,2333,,10.1007/s11517-022-02589-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132794736&doi=10.1007%2fs11517-022-02589-x&partnerID=40&md5=f3a9b9a596fae170ae035625ef8a8c7f,"Department of Pulmonary and Critical Care Medicine, Beijing Chao-Yang Hospital, Capital Medical University, Beijing, 100020, China; Beijing Institute of Respiratory Medicine, Beijing, 100020, China; Department of Respiratory, Shijingshan Teaching Hospital of Capital Medical University, Beijing Shijingshan Hospital, Beijing, 100043, China; Department of Enterprise Management, China Energy Engineering Corporation Limited, Beijing, 100022, China","Li, Z., Department of Pulmonary and Critical Care Medicine, Beijing Chao-Yang Hospital, Capital Medical University, Beijing, 100020, China, Beijing Institute of Respiratory Medicine, Beijing, 100020, China, Department of Respiratory, Shijingshan Teaching Hospital of Capital Medical University, Beijing Shijingshan Hospital, Beijing, 100043, China; Huang, K., Department of Pulmonary and Critical Care Medicine, Beijing Chao-Yang Hospital, Capital Medical University, Beijing, 100020, China, Beijing Institute of Respiratory Medicine, Beijing, 100020, China; Liu, L., Department of Enterprise Management, China Energy Engineering Corporation Limited, Beijing, 100022, China; Zhang, Z., Department of Respiratory, Shijingshan Teaching Hospital of Capital Medical University, Beijing Shijingshan Hospital, Beijing, 100043, China","Chronic obstructive pulmonary disease (COPD) is a common disease with high morbidity and mortality, where early detection benefits the population. However, the early diagnosis rate of COPD is low due to the absence or slight early symptoms. In this paper, a novel method based on graph convolution network (GCN) for early detection of COPD is proposed, which uses small and weakly labeled chest computed tomography image data from the publicly available Danish Lung Cancer Screening Trial database. The key idea is to construct a graph using regions of interest randomly selected from the segmented lung parenchyma and then input it into the GCN model for COPD detection. In this way, the model can not only extract the feature information of each region of interest but also the topological structure information between regions of interest, that is, graph structure information. The proposed GCN model achieves an acceptable performance with an accuracy of 0.77 and an area under a curve of 0.81, which is higher than the previous studies on the same dataset. GCN model also outperforms several state-of-the-art methods trained at the same time. As far as we know, it is also the first time using the GCN model on this dataset for COPD detection. Graphical abstract: [Figure not available: see fulltext.]. © 2022, International Federation for Medical and Biological Engineering.",Chronic obstructive pulmonary disease; Deep learning; Early detection; Graph convolution network,Biological organs; Computerized tomography; Deep learning; Diagnosis; Graphic methods; Image segmentation; Pulmonary diseases; Topology; Chronic obstructive pulmonary disease; Convolutional networks; Deep learning; Disease detection; Early detection; Graph convolution network; Network models; Region-of-interest; Regions of interest; Structure information; Convolution,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85132794736
"Astaraki M., Smedby Ö., Wang C.",Prior-aware autoencoders for lung pathology segmentation,2022,Medical Image Analysis,80,,102491,,,,10.1016/j.media.2022.102491,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131059087&doi=10.1016%2fj.media.2022.102491&partnerID=40&md5=72368d4081795ff05768930d2e42d651,"Department of Biomedical Engineering and Healthy Systems, KTH Royal Institute of Technology, Huddinge, SE-14157, Sweden; Department of Oncology-Pathology, Karolinska Institutet, Karolinska Universitetssjukhuset, Stockholm, Solna, SE-17176, Sweden","Astaraki, M., Department of Biomedical Engineering and Healthy Systems, KTH Royal Institute of Technology, Huddinge, SE-14157, Sweden, Department of Oncology-Pathology, Karolinska Institutet, Karolinska Universitetssjukhuset, Stockholm, Solna, SE-17176, Sweden; Smedby, Ö., Department of Biomedical Engineering and Healthy Systems, KTH Royal Institute of Technology, Huddinge, SE-14157, Sweden; Wang, C., Department of Biomedical Engineering and Healthy Systems, KTH Royal Institute of Technology, Huddinge, SE-14157, Sweden","Segmentation of lung pathology in Computed Tomography (CT) images is of great importance for lung disease screening. However, the presence of different types of lung pathologies with a wide range of heterogeneities in size, shape, location, and texture, on one side, and their visual similarity with respect to surrounding tissues, on the other side, make it challenging to perform reliable automatic lesion segmentation. To leverage segmentation performance, we propose a deep learning framework comprising a Normal Appearance Autoencoder (NAA) model to learn the distribution of healthy lung regions and reconstruct pathology-free images from the corresponding pathological inputs by replacing the pathological regions with the characteristics of healthy tissues. Detected regions that represent prior information regarding the shape and location of pathologies are then integrated into a segmentation network to guide the attention of the model into more meaningful delineations. The proposed pipeline was tested on three types of lung pathologies, including pulmonary nodules, Non-Small Cell Lung Cancer (NSCLC), and Covid-19 lesion on five comprehensive datasets. The results show the superiority of the proposed prior model, which outperformed the baseline segmentation models in all the cases with significant margins. On average, adding the prior model improved the Dice coefficient for the segmentation of lung nodules by 0.038, NSCLCs by 0.101, and Covid-19 lesions by 0.041. We conclude that the proposed NAA model produces reliable prior knowledge regarding the lung pathologies, and integrating such knowledge into a prior segmentation network leads to more accurate delineations. © 2022 The Author(s)",Healthy image generation; Lung pathology segmentation; Prior-aware deep learning,Biological organs; Computerized tomography; Deep learning; Diagnosis; Histology; Image segmentation; Textures; Tissue; Auto encoders; Computed tomography images; Disease screening; Healthy image generation; Image generations; Lung pathology; Lung pathology segmentation; Prior modeling; Prior-aware deep learning; Visual similarity; Pathology; Article; autoencoder; computer assisted tomography; controlled study; coronavirus disease 2019; histopathology; human; image segmentation; lung disease; lung nodule; non small cell lung cancer; pilot study,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85131059087
"Fathalla K.M., Youssef S.M., Mohammed N.",DETECT-LC: A 3D Deep Learning and Textural Radiomics Computational Model for Lung Cancer Staging and Tumor Phenotyping Based on Computed Tomography Volumes,2022,Applied Sciences (Switzerland),12,13,6318,,,,10.3390/app12136318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132992175&doi=10.3390%2fapp12136318&partnerID=40&md5=c44828ec7f99d402c0c5f9a6e64de788,"Computer Engineering Department, Arab Academy for Science and Technology, Abu Qir, Alexandria, 1029, Egypt","Fathalla, K.M., Computer Engineering Department, Arab Academy for Science and Technology, Abu Qir, Alexandria, 1029, Egypt; Youssef, S.M., Computer Engineering Department, Arab Academy for Science and Technology, Abu Qir, Alexandria, 1029, Egypt; Mohammed, N., Computer Engineering Department, Arab Academy for Science and Technology, Abu Qir, Alexandria, 1029, Egypt","Lung Cancer is one of the primary causes of cancer-related deaths worldwide. Timely diagnosis and precise staging are pivotal for treatment planning, and thus can lead to increased survival rates. The application of advanced machine learning techniques helps in effective diagnosis and staging. In this study, a multistage neurobased computational model is proposed, DETECT-LC learning. DETECT-LC handles the challenge of choosing discriminative CT slices for constructing 3D volumes, using Haralick, histogram-based radiomics, and unsupervised clustering. ALT-CNN-DENSE Net architecture is introduced as part of DETECT-LC for voxel-based classification. DETECT-LC offers an automatic threshold-based segmentation approach instead of the manual procedure, to help mitigate this burden for radiologists and clinicians. Also, DETECT-LC presents a slice selection approach and a newly proposed relatively light weight 3D CNN architecture to improve existing studies performance. The proposed pipeline is employed for tumor phenotyping and staging. DETECT-LC performance is assessed through a range of experiments, in which DETECT-LC attains outstanding performance surpassing its counterparts in terms of accuracy, sensitivity, F1-score and Area under Curve (AuC). For histopathology classification, DETECT-LC average performance achieved an improvement of 20% in overall accuracy, 0.19 in sensitivity, 0.16 in F1-Score and 0.16 in AuC over the state of the art. A similar enhancement is reached for staging, where higher overall accuracy, sensitivity and F1-score are attained with differences of 8%, 0.08 and 0.14. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",3D-CNN; computed tomography; deep learning; radiomics; staging; tumor phenotyping,,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85132992175
"Vaiyapuri T., Liyakathunisa, Alaskar H., Parvathi R., Pattabiraman V., Hussain A.",Cat Swarm Optimization-Based Computer-Aided Diagnosis Model for Lung Cancer Classification in Computed Tomography Images,2022,Applied Sciences (Switzerland),12,11,5491,,,,10.3390/app12115491,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131563897&doi=10.3390%2fapp12115491&partnerID=40&md5=70d7de8eb5226b0cc7ed9b7b5bf92e9a,"Department of Computer Science, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al Kharj, 16278, Saudi Arabia; Department of Computer Science, College of Computer Science and Engineering, Taibah University, Madinah, 42353, Saudi Arabia; School of Computing Science and Engineering, Vellore Institute of Technology, Chennai, 600127, India; Department of Electrical Engineering, University of Sharjah, P.O. Box 27272, Sharjah, United Arab Emirates; Department of Computer Science, Liverpool John Moores University, Liverpool, L3 3AF, United Kingdom","Vaiyapuri, T., Department of Computer Science, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al Kharj, 16278, Saudi Arabia; Liyakathunisa, Department of Computer Science, College of Computer Science and Engineering, Taibah University, Madinah, 42353, Saudi Arabia; Alaskar, H., Department of Computer Science, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al Kharj, 16278, Saudi Arabia; Parvathi, R., School of Computing Science and Engineering, Vellore Institute of Technology, Chennai, 600127, India; Pattabiraman, V., School of Computing Science and Engineering, Vellore Institute of Technology, Chennai, 600127, India; Hussain, A., Department of Electrical Engineering, University of Sharjah, P.O. Box 27272, Sharjah, United Arab Emirates, Department of Computer Science, Liverpool John Moores University, Liverpool, L3 3AF, United Kingdom","Lung cancer is the most significant cancer that heavily contributes to cancer-related mortality rate, due to its violent nature and late diagnosis at advanced stages. Early identification of lung cancer is essential for improving the survival rate. Various imaging modalities, including X-rays and computed tomography (CT) scans, are employed to diagnose lung cancer. Computer-aided diagnosis (CAD) models are necessary for minimizing the burden upon radiologists and enhancing detection efficiency. Currently, computer vision (CV) and deep learning (DL) models are employed to detect and classify the lung cancer in a precise manner. In this background, the current study presents a cat swarm optimization-based computer-aided diagnosis model for lung cancer classification (CSO-CADLCC) model. The proposed CHO-CADLCC technique initially pre-process the data using the Gabor filtering-based noise removal technique. Furthermore, feature extraction of the pre-processed images is performed with the help of NASNetLarge model. This model is followed by the CSO algorithm with weighted extreme learning machine (WELM) model, which is exploited for lung nodule classification. Finally, the CSO algorithm is utilized for optimal parameter tuning of the WELM model, resulting in an improved classification performance. The experimental validation of the proposed CSO-CADLCC technique was conducted against a benchmark dataset, and the results were assessed under several aspects. The experimental outcomes established the promising performance of the CSO-CADLCC approach over recent approaches under different measures. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",cat swarm optimization; computer vision; computer-aided diagnosis; deep learning; healthcare; intelligent models,,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85131563897
"Malik H., Anees T., Mui-zzud-din","BDCNet: multi-classification convolutional neural network model for classification of COVID-19, pneumonia, and lung cancer from chest radiographs",2022,Multimedia Systems,28,3,,815,829,1,10.1007/s00530-021-00878-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123105919&doi=10.1007%2fs00530-021-00878-3&partnerID=40&md5=4114b3b06b1a171065e53ca9af73892f,"Department of Computer Science, University of Management and Technology, Lahore, 54000, Pakistan; Department of Computer Science, National College of Business Administration & Economics Sub Campus Multan, Multan, 60000, Pakistan; Department of Software Engineering, University of Management and Technology, Lahore, 54000, Pakistan; Department of Computer Science, Khawaja Fareed University of Engineering & Information Technology, 64200, Rahim Yar Khan, Pakistan","Malik, H., Department of Computer Science, University of Management and Technology, Lahore, 54000, Pakistan, Department of Computer Science, National College of Business Administration & Economics Sub Campus Multan, Multan, 60000, Pakistan; Anees, T., Department of Software Engineering, University of Management and Technology, Lahore, 54000, Pakistan; Mui-zzud-din, Department of Computer Science, Khawaja Fareed University of Engineering & Information Technology, 64200, Rahim Yar Khan, Pakistan","Globally, coronavirus disease (COVID-19) has badly affected the medical system and economy. Sometimes, the deadly COVID-19 has the same symptoms as other chest diseases such as pneumonia and lungs cancer and can mislead the doctors in diagnosing coronavirus. Frontline doctors and researchers are working assiduously in finding the rapid and automatic process for the detection of COVID-19 at the initial stage, to save human lives. However, the clinical diagnosis of COVID-19 is highly subjective and variable. The objective of this study is to implement a multi-classification algorithm based on deep learning (DL) model for identifying the COVID-19, pneumonia, and lung cancer diseases from chest radiographs. In the present study, we have proposed a model with the combination of Vgg-19 and convolutional neural networks (CNN) named BDCNet and applied it on different publically available benchmark databases to diagnose the COVID-19 and other chest tract diseases. To the best of our knowledge, this is the first study to diagnose the three chest diseases in a single deep learning model. We also computed and compared the classification accuracy of our proposed model with four well-known pre-trained models such as ResNet-50, Vgg-16, Vgg-19, and inception v3. Our proposed model achieved an AUC of 0.9833 (with an accuracy of 99.10%, a recall of 98.31%, a precision of 99.9%, and an f1-score of 99.09%) in classifying the different chest diseases. Moreover, CNN-based pre-trained models VGG-16, VGG-19, ResNet-50, and Inception-v3 achieved an accuracy of classifying multi-diseases are 97.35%, 97.14%, 97.15%, and 95.10%, respectively. The results revealed that our proposed model produced a remarkable performance as compared to its competitor approaches, thus providing significant assistance to diagnostic radiographers and health experts. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Chest radiographs; Coronavirus; COVID-19; Deep learning,Biological organs; Convolution; Convolutional neural networks; Deep learning; Diagnosis; Radiography; Chest radiographs; Convolutional neural network; Coronaviruses; COVID-19; Deep learning; Learning models; Lung Cancer; Medical systems; Multi-classification; Neural network model; Coronavirus,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85123105919
"Sousa J., Pereira T., Neves I., Silva F., Oliveira H.P.",The Influence of a Coherent Annotation and Synthetic Addition of Lung Nodules for Lung Segmentation in CT Scans,2022,Sensors,22,9,3443,,,,10.3390/s22093443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129209996&doi=10.3390%2fs22093443&partnerID=40&md5=3f93ad1df484c2455afe34d791f9b54e,"INESC TEC—Institute for Systems and Computer Engineering, Technology and Science, Porto, 4200-465, Portugal; FEUP—Faculty of Engineering, University of Porto, Porto, 4200-465, Portugal; ICBAS—Abel Salazar Biomedical Sciences Institute, University of Porto, Porto, 4050-313, Portugal; FCUP—Faculty of Science, University of Porto, Porto, 4169-007, Portugal","Sousa, J., INESC TEC—Institute for Systems and Computer Engineering, Technology and Science, Porto, 4200-465, Portugal, FEUP—Faculty of Engineering, University of Porto, Porto, 4200-465, Portugal; Pereira, T., INESC TEC—Institute for Systems and Computer Engineering, Technology and Science, Porto, 4200-465, Portugal; Neves, I., ICBAS—Abel Salazar Biomedical Sciences Institute, University of Porto, Porto, 4050-313, Portugal; Silva, F., INESC TEC—Institute for Systems and Computer Engineering, Technology and Science, Porto, 4200-465, Portugal, FCUP—Faculty of Science, University of Porto, Porto, 4169-007, Portugal; Oliveira, H.P., INESC TEC—Institute for Systems and Computer Engineering, Technology and Science, Porto, 4200-465, Portugal, FCUP—Faculty of Science, University of Porto, Porto, 4169-007, Portugal","Lung cancer is a highly prevalent pathology and a leading cause of cancer-related deaths. Most patients are diagnosed when the disease has manifested itself, which usually is a sign of lung cancer in an advanced stage and, as a consequence, the 5-year survival rates are low. To increase the chances of survival, improving the cancer early detection capacity is crucial, for which computed tomography (CT) scans represent a key role. The manual evaluation of the CTs is a time-consuming task and computer-aided diagnosis (CAD) systems can help relieve that burden. The segmentation of the lung is one of the first steps in these systems, yet it is very challenging given the heterogeneity of lung diseases usually present and associated with cancer development. In our previous work, a segmentation model based on a ResNet34 and U-Net combination was developed on a cross-cohort dataset that yielded good segmentation masks for multiple pathological conditions but misclassified some of the lung nodules. The multiple datasets used for the model development were originated from different annotation protocols, which generated inconsistencies for the learning process, and the annotations are usually not adequate for lung cancer studies since they did not comprise lung nodules. In addition, the initial datasets used for training presented a reduced number of nodules, which was showed not to be enough to allow the segmentation model to learn to include them as a lung part. In this work, an objective protocol for the lung mask’s segmentation was defined and the previous annotations were carefully reviewed and corrected to create consistent and adequate ground-truth masks for the development of the segmentation model. Data augmentation with domain knowledge was used to create lung nodules in the cases used to train the model. The model developed achieved a Dice similarity coefficient (DSC) above 0.9350 for all test datasets and it showed an ability to cope, not only with a variety of lung patterns, but also with the presence of lung nodules as well. This study shows the importance of using consistent annotations for the supervised learning process, which is a very time-consuming task, but that has great importance to healthcare applications. Due to the lack of massive datasets in the medical field, which consequently brings a lack of wide representativity, data augmentation with domain knowledge could represent a promising help to overcome this limitation for learning models development. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",annotation homogeneity; data augmentation; deep learning; lung diseases; lung segmentation,"Computer aided diagnosis; Computerized tomography; Deep learning; Diseases; Domain Knowledge; Annotation homogeneity; Computed tomography scan; Data augmentation; Deep learning; Lung Cancer; Lung nodule; Lung segmentation; Model development; Segmentation models; Time-consuming tasks; Biological organs; computer assisted diagnosis; diagnostic imaging; human; image processing; lung; lung tumor; thorax; x-ray computed tomography; Diagnosis, Computer-Assisted; Humans; Image Processing, Computer-Assisted; Lung; Lung Neoplasms; Thorax; Tomography, X-Ray Computed",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85129209996
"Mehrotra R., Agrawal R., Ansari M.A.",Diagnosis of hypercritical chronic pulmonary disorders using dense convolutional network through chest radiography,2022,Multimedia Tools and Applications,81,6,,7625,7649,,10.1007/s11042-021-11748-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123849496&doi=10.1007%2fs11042-021-11748-5&partnerID=40&md5=a5c3fd5cb0e5cfc234083b825830e829,"Department of Electrical & Electronics Engineering, GL Bajaj Institute of Technology & Management, Gr. Noida, India; Department of Electronics & Communication Engineering, GL Bajaj Institute of Technology & Management, Gr. Noida, India; Department of Electrical Engineering, School of Engineering, Gautam Buddha University, Gr. Noida, India","Mehrotra, R., Department of Electrical & Electronics Engineering, GL Bajaj Institute of Technology & Management, Gr. Noida, India; Agrawal, R., Department of Electronics & Communication Engineering, GL Bajaj Institute of Technology & Management, Gr. Noida, India; Ansari, M.A., Department of Electrical Engineering, School of Engineering, Gautam Buddha University, Gr. Noida, India","Lung-related ailments are prevalent all over the world which majorly includes asthma, chronic obstructive pulmonary disease (COPD), tuberculosis, pneumonia, fibrosis, etc. and now COVID-19 is added to this list. Infection of COVID-19 poses respirational complications with other indications like cough, high fever, and pneumonia. WHO had identified cancer in the lungs as a fatal cancer type amongst others and thus, the timely detection of such cancer is pivotal for an individual’s health. Since the elementary convolutional neural networks have not performed fairly well in identifying atypical image types hence, we recommend a novel and completely automated framework with a deep learning approach for the recognition and classification of chronic pulmonary disorders (CPD) and COVID-pneumonia using Thoracic or Chest X-Ray (CXR) images. A novel three-step, completely automated, approach is presented that first extracts the region of interest from CXR images for preprocessing, and they are then used to detects infected lungs X-rays from the Normal ones. Thereafter, the infected lung images are further classified into COVID-pneumonia, pneumonia, and other chronic pulmonary disorders (OCPD), which might be utilized in the current scenario to help the radiologist in substantiating their diagnosis and in starting well in time treatment of these deadly lung diseases. And finally, highlight the regions in the CXR which are indicative of severe chronic pulmonary disorders like COVID-19 and pneumonia. A detailed investigation of various pivotal parameters based on several experimental outcomes are made here. This paper presents an approach that detects the Normal lung X-rays from infected ones and the infected lung images are further classified into COVID-pneumonia, pneumonia, and other chronic pulmonary disorders with an utmost accuracy of 96.8%. Several other collective performance measurements validate the superiority of the presented model. The proposed framework shows effective results in classifying lung images into Normal, COVID-pneumonia, pneumonia, and other chronic pulmonary disorders (OCPD). This framework can be effectively utilized in this current pandemic scenario to help the radiologist in substantiating their diagnosis and in starting well in time treatment of these deadly lung diseases. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Chest x-ray (CXR); Chronic pulmonary disorders; CNN; COVID-19; Deep learning; Pneumonia,Biological organs; Convolutional neural networks; Deep learning; Diagnosis; Image classification; Image segmentation; Pulmonary diseases; X ray radiography; 'current; Chest x-ray; Chest X-ray image; Chest x-rays; Chronic pulmonary disorder; Classifieds; CNN; COVID-19; Deep learning; Pneumonia; Convolution,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85123849496
"Kido S., Kidera S., Hirano Y., Mabu S., Kamiya T., Tanaka N., Suzuki Y., Yanagawa M., Tomiyama N.",Segmentation of Lung Nodules on CT Images Using a Nested Three-Dimensional Fully Connected Convolutional Network,2022,Frontiers in Artificial Intelligence,5,,782225,,,1,10.3389/frai.2022.782225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125736621&doi=10.3389%2ffrai.2022.782225&partnerID=40&md5=ebd05535bde380c281e9999b012df33a,"Department of Artificial Intelligence Diagnostic Radiology, Osaka University Graduate School of Medicine, Suita, Japan; Graduate School of Sciences and Technology for Innovation, Yamaguchi University, Ube, Japan; Medical Informatics and Decision Sciences, Yamaguchi University Hospital, Ube, Japan; Department of Mechanical and Control Engineering, Faculty of Engineering, Kyushu Institute of Technology, Kitakyushu, Japan; Department of Radiology, National Hospital Organization, Yamaguchi-Ube Medical Center, Ube, Japan; Department of Radiology, Osaka University Graduate School of Medicine, Suita, Japan","Kido, S., Department of Artificial Intelligence Diagnostic Radiology, Osaka University Graduate School of Medicine, Suita, Japan; Kidera, S., Graduate School of Sciences and Technology for Innovation, Yamaguchi University, Ube, Japan; Hirano, Y., Medical Informatics and Decision Sciences, Yamaguchi University Hospital, Ube, Japan; Mabu, S., Graduate School of Sciences and Technology for Innovation, Yamaguchi University, Ube, Japan; Kamiya, T., Department of Mechanical and Control Engineering, Faculty of Engineering, Kyushu Institute of Technology, Kitakyushu, Japan; Tanaka, N., Department of Radiology, National Hospital Organization, Yamaguchi-Ube Medical Center, Ube, Japan; Suzuki, Y., Department of Artificial Intelligence Diagnostic Radiology, Osaka University Graduate School of Medicine, Suita, Japan; Yanagawa, M., Department of Radiology, Osaka University Graduate School of Medicine, Suita, Japan; Tomiyama, N., Department of Radiology, Osaka University Graduate School of Medicine, Suita, Japan","In computer-aided diagnosis systems for lung cancer, segmentation of lung nodules is important for analyzing image features of lung nodules on computed tomography (CT) images and distinguishing malignant nodules from benign ones. However, it is difficult to accurately and robustly segment lung nodules attached to the chest wall or with ground-glass opacities using conventional image processing methods. Therefore, this study aimed to develop a method for robust and accurate three-dimensional (3D) segmentation of lung nodule regions using deep learning. In this study, a nested 3D fully connected convolutional network with residual unit structures was proposed, and designed a new loss function. Compared with annotated images obtained under the guidance of a radiologist, the Dice similarity coefficient (DS) and intersection over union (IoU) were 0.845 ± 0.008 and 0.738 ± 0.011, respectively, for 332 lung nodules (lung adenocarcinoma) obtained from 332 patients. On the other hand, for 3D U-Net and 3D SegNet, the DS was 0.822 ± 0.009 and 0.786 ± 0.011, respectively, and the IoU was 0.711 ± 0.011 and 0.660 ± 0.012, respectively. These results indicate that the proposed method is significantly superior to well-known deep learning models. Moreover, we compared the results obtained from the proposed method with those obtained from conventional image processing methods, watersheds, and graph cuts. The DS and IoU results for the watershed method were 0.628 ± 0.027 and 0.494 ± 0.025, respectively, and those for the graph cut method were 0.566 ± 0.025 and 0.414 ± 0.021, respectively. These results indicate that the proposed method is significantly superior to conventional image processing methods. The proposed method may be useful for accurate and robust segmentation of lung nodules to assist radiologists in the diagnosis of lung nodules such as lung adenocarcinoma on CT images. Copyright © 2022 Kido, Kidera, Hirano, Mabu, Kamiya, Tanaka, Suzuki, Yanagawa and Tomiyama.",computer-aided diagnosis; deep learning; graph cut; lung nodule; segmentation; SegNet; U-Net; watershed,,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85125736621
