Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Lung nodule detection and classification based on geometric fit in parametric form and deep learning,Neural Computing and Applications,,32,9,10.1007/s00521-018-3773-x,Syed Muhammad NaqiMuhammad SharifArfan Jaffar,2020,http://link.springer.com/article/10.1007/s00521-018-3773-x,Article
ROI-based feature learning for efficient true positive prediction using convolutional neural network for lung cancer diagnosis,Neural Computing and Applications,,32,20,10.1007/s00521-020-04787-w,Supriya SureshSubaji Mohan,2020,http://link.springer.com/article/10.1007/s00521-020-04787-w,Article
Lung cancer detection and classification with DGMM-RBCNN technique,Neural Computing and Applications,,33,22,10.1007/s00521-021-06182-5,Sanjukta Rani JenaS. Thomas GeorgeD. Narain Ponraj,2021,http://link.springer.com/article/10.1007/s00521-021-06182-5,Article
Lung nodule malignancy classification in chest computed tomography images using transfer learning and convolutional neural networks,Neural Computing and Applications,,32,15,10.1007/s00521-018-3895-1,Raul Victor M. da NóbregaPedro P. Rebouças FilhoMurillo B. RodriguesSuane P. P. da SilvaCarlos M. J. M. Dourado JúniorVictor Hugo C. de Albuquerque,2020,http://link.springer.com/article/10.1007/s00521-018-3895-1,Article
AFA: adversarial frequency alignment for domain generalized lung nodule detection,Neural Computing and Applications,,34,10,10.1007/s00521-022-06928-9,Baocai YinMei SunJing ZhangWenchao LiuCong LiuZengfu Wang,2022,http://link.springer.com/article/10.1007/s00521-022-06928-9,Article
Performance analysis of various machine learning-based approaches for detection and classification of lung cancer in humans,Neural Computing and Applications,,31,10,10.1007/s00521-018-3518-x,Gur Amrit Pal SinghP. K. Gupta,2019,http://link.springer.com/article/10.1007/s00521-018-3518-x,Article
Application of artificial intelligence based on deep learning in breast cancer screening and imaging diagnosis,Neural Computing and Applications,,33,15,10.1007/s00521-021-05728-x,Yang WangFuqian YangJun ZhangHuidong WangXianwen YueShanshan Liu,2021,http://link.springer.com/article/10.1007/s00521-021-05728-x,Article
Hybrid bio-inspired algorithm and convolutional neural network for automatic lung tumor detection,Neural Computing and Applications,,,,10.1007/s00521-020-05362-z,Surbhi VijhPrashant GauravHari Mohan Pandey,2020,http://link.springer.com/article/10.1007/s00521-020-05362-z,Article
Enhanced lung image segmentation using deep learning,Neural Computing and Applications,,,,10.1007/s00521-021-06719-8,Shilpa GiteAbhinav MishraKetan Kotecha,2022,http://link.springer.com/article/10.1007/s00521-021-06719-8,Article
A novel genetic algorithm-based approach for compression and acceleration of deep learning convolution neural network: an application in computer tomography lung cancer data,Neural Computing and Applications,,34,23,10.1007/s00521-022-07567-w,Sanagala S. SkandhaMohit AgarwalKumar UtkarshSuneet K. GuptaVijaya K. KoppulaJasjit S. Suri,2022,http://link.springer.com/article/10.1007/s00521-022-07567-w,Article
Machine learning techniques for CT imaging diagnosis of novel coronavirus pneumonia: a review,Neural Computing and Applications,,,,10.1007/s00521-022-07709-0,Jingjing ChenYixiao LiLingling GuoXiaokang ZhouYihan ZhuQingfeng HeHaijun HanQilong Feng,2022,http://link.springer.com/article/10.1007/s00521-022-07709-0,Article
Transfer learning for histopathology images: an empirical study,Neural Computing and Applications,,,,10.1007/s00521-022-07516-7,Tayyab AitazazAbdullah TubaishatFeras Al-ObeidatBabar ShahTehseen ZiaAli Tariq,2022,http://link.springer.com/article/10.1007/s00521-022-07516-7,Article
Automatic lung segmentation in low-dose chest CT scans using convolutional deep and wide network (CDWN),Neural Computing and Applications,,32,20,10.1007/s00521-018-3877-3,S. Akila AgnesJ. AnithaJ. Dinesh Peter,2020,http://link.springer.com/article/10.1007/s00521-018-3877-3,Article
A layer-level multi-scale architecture for lung cancer classification with fluorescence lifetime imaging endomicroscopy,Neural Computing and Applications,,34,21,10.1007/s00521-022-07481-1,Qiang WangJames R. HopgoodSusan FernandesNeil FinlaysonGareth O. S. WilliamsAhsan R. AkramKevin DhaliwalMarta Vallejo,2022,http://link.springer.com/article/10.1007/s00521-022-07481-1,Article
