Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A 3D Probabilistic Deep Learning System for Detection and Diagnosis of Lung Cancer Using Low-Dose CT Scans,O. Ozdemir; R. L. Russell; A. A. Berlin,"Google, Cambridge, USA; Draper, Cambridge, USA; Draper, Cambridge, USA",IEEE Transactions on Medical Imaging,1-May-20,2020,39,5,1419,1429,"We introduce a new computer aided detection and diagnosis system for lung cancer screening with low-dose CT scans that produces meaningful probability assessments. Our system is based entirely on 3D convolutional neural networks and achieves state-of-the-art performance for both lung nodule detection and malignancy classification tasks on the publicly available LUNA16 and Kaggle Data Science Bowl challenges. While nodule detection systems are typically designed and optimized on their own, we find that it is important to consider the coupling between detection and diagnosis components. Exploiting this coupling allows us to develop an end-to-end system that has higher and more robust performance and eliminates the need for a nodule detection false positive reduction stage. Furthermore, we characterize model uncertainty in our deep learning systems, a first for lung CT analysis, and show that we can use this to provide well-calibrated classification probabilities for both nodule detection and patient malignancy diagnosis. These calibrated probabilities informed by model uncertainty can be used for subsequent risk-based decision making towards diagnostic interventions or disease treatments, as we demonstrate using a probability-based patient referral strategy to further improve our results.",1558-254X,,10.1109/TMI.2019.2947595,Charles Stark Draper Laboratory IR&D program under the guidance of Amy Duwel and Sheila Hemami; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8886352,Machine learning;artificial neural networks;medical diagnostic imaging;image segmentation;image classification,Solid modeling;Lung;Three-dimensional displays;Cancer;Computed tomography;Deep learning;Uncertainty,cancer;computerised tomography;convolutional neural nets;decision making;diseases;image classification;learning (artificial intelligence);lung;medical image processing,computer aided detection;3D probabilistic deep learning system;probability-based patient referral strategy;patient malignancy diagnosis;classification probabilities;lung CT analysis;deep learning systems;end-to-end system;diagnosis components;nodule detection systems;Kaggle Data Science Bowl;malignancy classification tasks;lung nodule detection;low-dose CT scans;lung cancer screening;diagnosis system,"Deep Learning;Early Detection of Cancer;Humans;Imaging, Three-Dimensional;Lung Neoplasms;Tomography, X-Ray Computed",72,,34,CCBY,30-Oct-19,,,IEEE,IEEE Journals
Semi-Supervised Deep Transfer Learning for Benign-Malignant Diagnosis of Pulmonary Nodules in Chest CT Images,F. Shi; B. Chen; Q. Cao; Y. Wei; Q. Zhou; R. Zhang; Y. Zhou; W. Yang; X. Wang; R. Fan; F. Yang; Y. Chen; W. Li; Y. Gao; D. Shen,"Department of Research and Development, Shanghai United Imaging Intelligence Company Ltd, Shanghai, China; Department of Respiratory and Critical Care Medicine, West China Hospital of Sichuan University, Chengdu, China; Department of Radiology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Department of Research and Development, Shanghai United Imaging Intelligence Company Ltd, Shanghai, China; Department of Research and Development, Shanghai United Imaging Intelligence Company Ltd, Shanghai, China; Department of Respiratory and Critical Care Medicine, West China Hospital of Sichuan University, Chengdu, China; Department of Respiratory and Critical Care Medicine, West China Hospital of Sichuan University, Chengdu, China; Department of Radiology, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China; Department of Radiology, Changzheng Hospital, Second Military Medical University, Shanghai, China; Department of Radiology, Changzheng Hospital, Second Military Medical University, Shanghai, China; Department of Research and Development, Shanghai United Imaging Intelligence Company Ltd, Shanghai, China; Department of Research and Development, Shanghai United Imaging Intelligence Company Ltd, Shanghai, China; Department of Respiratory and Critical Care Medicine, West China Hospital of Sichuan University, Chengdu, China; Department of Research and Development, Shanghai United Imaging Intelligence Company Ltd, Shanghai, China; School of Biomedical Engineering, ShanghaiTech University, Shanghai, China",IEEE Transactions on Medical Imaging,1-Apr-22,2022,41,4,771,781,"Lung cancer is the leading cause of cancer deaths worldwide. Accurately diagnosing the malignancy of suspected lung nodules is of paramount clinical importance. However, to date, the pathologically-proven lung nodule dataset is largely limited and is highly imbalanced in benign and malignant distributions. In this study, we proposed a Semi-supervised Deep Transfer Learning (SDTL) framework for benign-malignant pulmonary nodule diagnosis. First, we utilize a transfer learning strategy by adopting a pre-trained classification network that is used to differentiate pulmonary nodules from nodule-like tissues. Second, since the size of samples with pathological-proven is small, an iterated feature-matching-based semi-supervised method is proposed to take advantage of a large available dataset with no pathological results. Specifically, a similarity metric function is adopted in the network semantic representation space for gradually including a small subset of samples with no pathological results to iteratively optimize the classification network. In this study, a total of 3,038 pulmonary nodules (from 2,853 subjects) with pathologically-proven benign or malignant labels and 14,735 unlabeled nodules (from 4,391 subjects) were retrospectively collected. Experimental results demonstrate that our proposed SDTL framework achieves superior diagnosis performance, with accuracy = 88.3%, AUC = 91.0% in the main dataset, and accuracy = 74.5%, AUC = 79.5% in the independent testing dataset. Furthermore, ablation study shows that the use of transfer learning provides 2% accuracy improvement, and the use of semi-supervised learning further contributes 2.9% accuracy improvement. Results implicate that our proposed classification network could provide an effective diagnostic tool for suspected lung nodules, and might have a promising application in clinical practice.",1558-254X,,10.1109/TMI.2021.3123572,National Key Research and Development Program of China(grant numbers:2018YFC0116400); National Natural Science Foundation of China(grant numbers:91859203); Sichuan International Science and Technology Innovation Cooperation/ HongKong-Macao-Taiwan Science and Technology Innovation Cooperation Project(grant numbers:2018HH0161); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591607,Pulmonary nodule;deep learning;transfer learning;semi-supervised learning;benign-malignant classification,Lung;Computed tomography;Lung cancer;Tumors;Transfer learning;Semisupervised learning;Medical diagnostic imaging,cancer;computerised tomography;deep learning (artificial intelligence);feature extraction;image classification;lung;medical image processing;semi-supervised learning (artificial intelligence);tumours,pulmonary nodules;SDTL framework;independent testing dataset;suspected lung nodules;semisupervised deep transfer learning;benign-malignant diagnosis;chest CT;lung cancer;cancer deaths;paramount clinical importance;pathologically-proven lung nodule dataset;benign distributions;malignant distributions;benign-malignant pulmonary nodule diagnosis;transfer learning strategy;pre-trained classification network;differentiate pulmonary nodules;nodule-like tissues;iterated feature-matching-based semisupervised method;network semantic representation space,"Humans;Lung Neoplasms;Retrospective Studies;Solitary Pulmonary Nodule;Supervised Machine Learning;Tomography, X-Ray Computed",9,,33,IEEE,27-Oct-21,,,IEEE,IEEE Journals
EGFR Assessment in Lung Cancer CT Images: Analysis of Local and Holistic Regions of Interest Using Deep Unsupervised Transfer Learning,F. Silva; T. Pereira; J. Morgado; J. Frade; J. Mendes; C. Freitas; E. Negrão; B. F. De Lima; M. C. D. Silva; A. J. Madureira; I. Ramos; V. Hespanhol; J. L. Costa; A. Cunha; H. P. Oliveira,"Faculty of Engineering, University of Porto (FEUP), Porto, Portugal; Institute for Systems and Computer Engineering, Technology and Science (INESC TEC), Porto, Portugal; Faculty of Science, University of Porto (FCUP), Porto, Portugal; Faculty of Engineering, University of Porto (FEUP), Porto, Portugal; Faculty of Engineering, University of Porto (FEUP), Porto, Portugal; Faculty of Medicine, University of Porto (FMUP), Porto, Portugal; Centro Hospitalar e Universitário de São João (CHUSJ), Porto, Portugal; Centro Hospitalar e Universitário de São João (CHUSJ), Porto, Portugal; Centro Hospitalar e Universitário de São João (CHUSJ), Porto, Portugal; Faculty of Medicine, University of Porto (FMUP), Porto, Portugal; Faculty of Medicine, University of Porto (FMUP), Porto, Portugal; Faculty of Medicine, University of Porto (FMUP), Porto, Portugal; Institute of Molecular Pathology and Immunology, University of Porto (IPATIMUP), Porto, Portugal; University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; Faculty of Science, University of Porto (FCUP), Porto, Portugal",IEEE Access,20-Apr-21,2021,9,,58667,58676,"Statistics have demonstrated that one of the main factors responsible for the high mortality rate related to lung cancer is the late diagnosis. Precision medicine practices have shown advances in the individualized treatment according to the genetic profile of each patient, providing better control on cancer response. Medical imaging offers valuable information with an extensive perspective of the cancer, opening opportunities to explore the imaging manifestations associated with the tumor genotype in a non-invasive way. This work aims to study the relevance of physiological features captured from Computed Tomography images, using three different 2D regions of interest to assess the Epidermal growth factor receptor (EGFR) mutation status: nodule, lung containing the main nodule, and both lungs. A Convolutional Autoencoder was developed for the reconstruction of the input image. Thereafter, the encoder block was used as a feature extractor, stacking a classifier on top to assess the EGFR mutation status. Results showed that extending the analysis beyond the local nodule allowed the capture of more relevant information, suggesting the presence of useful biomarkers using the lung with nodule region of interest, which allowed to obtain the best prediction ability. This comparative study represents an innovative approach for gene mutations status assessment, contributing to the discussion on the extent of pathological phenomena associated with cancer development, and its contribution to more accurate Artificial Intelligence-based solutions, and constituting, to the best of our knowledge, the first deep learning approach that explores a comprehensive analysis for the EGFR mutation status classification.",2169-3536,,10.1109/ACCESS.2021.3070701,"European Regional Development Fund (ERDF) through the Operational Program for Competitiveness and Internationalization—COMPETE 2020 Program; National Funds through the Portuguese Funding Agency, Fundação para a Ciência e a Tecnologia (FCT)(grant numbers:POCI-01-0145-FEDER-030263); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9393886,Convolutional autoencoder;EGFR prediction;lung cancer;transfer learning;unsupervised feature learning,Computed tomography;Lung;Feature extraction;Lung cancer;Transfer learning;Databases;Tumors,cancer;computerised tomography;feature extraction;genetics;image classification;learning (artificial intelligence);lung;medical computing;medical image processing;patient diagnosis;patient treatment;tumours,EGFR assessment;EGFR mutation status classification;deep learning approach;cancer development;gene mutations status assessment;local nodule;feature extractor;input image;main nodule;Epidermal growth factor receptor mutation status;Computed Tomography images;physiological features;tumor genotype;imaging manifestations;extensive perspective;medical imaging offers valuable information;cancer response;genetic profile;individualized treatment;precision medicine practices;late diagnosis;high mortality rate;deep unsupervised transfer learning;lung cancer CT images,,13,,30,CCBYNCND,2-Apr-21,,,IEEE,IEEE Journals
LDNNET: Towards Robust Classification of Lung Nodule and Cancer Using Lung Dense Neural Network,Y. Chen; Y. Wang; F. Hu; L. Feng; T. Zhou; C. Zheng,"School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China; School of Software, Nanchang Hangkong University, Nanchang, China",IEEE Access,5-Apr-21,2021,9,,50301,50320,"Lung nodule classification plays an important role in diagnosis of lung cancer which is essential to patients' survival. However, because the number of lung CT images in current dataset is relatively small and the ratio of nodule samples to non-nodule samples is usually very different, this makes the training of neural networks difficult and poor performance of neural networks. Hence, LDNNET is proposed, which adopts Dense-Block, batch normalization (BN) and dropout to cope with these problems. Meanwhile, LDNNET is an adaptive architecture based on convnets combining softmax classifier which is utilized to alleviate the problems of training deep convnets. Follows are our main work: Firstly, we utilized LDNNET on database LUng Nodule Analysis 2016 (LUNA16) for lung nodule classification and database KAGGLE DATA-SCIENCE-BOWL-2017(Kaggle DSB 2017) for lung cancer classification; Secondly, the comparison experiments are designed to compare the performance of dense connection, pooling layer and the input pixel size of lung CT(Computed Tomography) images; Thirdly, data enhancement, dense connection and dropout layer were utilized in LDNNET to reduce overfitting; Fourthly, pre-processing methods, for instance enhanced contrast, median filtering, Laplacian filtering are compared to the no-processing method to explore the effect of pre-processing on lung CT images classification. Fifthly, accuracy, specificity and sensitivity on LUNA16 are 0.988396, 0.994585 and 0.982072 and these indicators on Kaggle DSB 2017 are 0.999480, 0.999652 and 0.998974. Furthermore, AUC for both two datasets is over 0.98. Consequently, this paper conducts experiments with uniform parameter settings on two publicly available databases and shows that even in challenging situation where lung images are directly utilized as input images without preprocessing, LDNNET is still the more advanced algorithm than other recent algorithms respectively. Moreover, a series of comparative experiments were conducted to further confirm that the proposed algorithm has the higher accuracy and robustness through verification and discussion.",2169-3536,,10.1109/ACCESS.2021.3068896,"National Natural Science Foundation of China(grant numbers:61762067,61867004); Natural Science Foundation of Jiangxi Province(grant numbers:20202BABC202029,20202BABC202028); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9386129,Deep dense neural network;classification;lung nodule;lung cancer,Lung;Computed tomography;Lung cancer;Classification algorithms;Feature extraction;Neural networks;Medical diagnostic imaging,cancer;computerised tomography;deep learning (artificial intelligence);image classification;image filtering;lung;medical image processing;neural nets,Laplacian filtering;median filtering;dropout layer;computed tomography images;pooling layer;Kaggle DSB 2017 database;KAGGLE DATA-SCIENCE-BOWL-2017 database;softmax classifier;batch normalization;lung dense neural network;LUNA16 database;LUng Nodule Analysis 2016 database;deep convnets;Dense-Block;nonnodule samples;lung CT images classification;dense connection;lung cancer classification;lung nodule classification;LDNNET,,4,,56,CCBY,24-Mar-21,,,IEEE,IEEE Journals
Self-Supervised Transfer Learning Based on Domain Adaptation for Benign-Malignant Lung Nodule Classification on Thoracic CT,H. Huang; R. Wu; Y. Li; C. Peng,"Key Laboratory of Optoelectronic Technology and Systems of the Education Ministry of China, Chongqing University, Chongqing, China; Key Laboratory of Optoelectronic Technology and Systems of the Education Ministry of China, Chongqing University, Chongqing, China; Key Laboratory of Optoelectronic Technology and Systems of the Education Ministry of China, Chongqing University, Chongqing, China; Key Laboratory of Optoelectronic Technology and Systems of the Education Ministry of China, Chongqing University, Chongqing, China",IEEE Journal of Biomedical and Health Informatics,11-Aug-22,2022,26,8,3860,3871,"The spatial heterogeneity is an important indicator of the malignancy of lung nodules in lung cancer diagnosis. Compared with 2D nodule CT images, the 3D volumes with entire nodule objects hold richer discriminative information. However, for deep learning methods driven by massive data, effectively capturing the 3D discriminative features of nodules in limited labeled samples is a challenging task. Different from previous models that proposed transfer learning models in a 2D pattern or learning from scratch 3D models, we develop a self-supervised transfer learning based on domain adaptation (SSTL-DA) 3D CNN framework for benign-malignant lung nodule classification. At first, a data pre-processing strategy termed adaptive slice selection (ASS) is developed to eliminate the redundant noise of the input samples with lung nodules. Then, the self-supervised learning network is constructed to learn robust image representations from CT images. Finally, a transfer learning method based on domain adaptation is designed to obtain discriminant features for classification. The proposed SSTL-DA method has been assessed on the LIDC-IDRI benchmark dataset, and it obtains an accuracy of 91.07% and an AUC of 95.84%. These results demonstrate that the SSTL-DA model achieves quite a competitive classification performance compared with some state-of-the-art approaches",2168-2208,,10.1109/JBHI.2022.3171851,National Natural Science Foundation of China(grant numbers:42071302); Graduate Research and Innovation Foundation of Chongqing(grant numbers:CYB21060); Fundamental Research Funds for the Central Universities(grant numbers:2019CDYGYB008); Innovation Program for Chongqing Overseas Returnees(grant numbers:cx2019144); Visiting Scholar Foundation of Key Laboratory of Optoelectronic Technology and Systems; NVIDIA; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9767702,Lung nodule classification;3D transfer learning;self-supervised learning;domain adaptation learning;thoracic CT,Lung;Feature extraction;Three-dimensional displays;Computed tomography;Task analysis;Solid modeling;Adaptation models,cancer;computerised tomography;convolutional neural nets;deep learning (artificial intelligence);feature extraction;image classification;image denoising;image representation;lung;medical image processing;supervised learning,lung cancer diagnosis;2D nodule CT images;discriminative information;deep learning methods;scratch 3D models;self-supervised transfer learning;domain adaptation 3D CNN framework;benign-malignant lung nodule classification;adaptive slice selection;self-supervised learning network;computed tomography;nodule objects;thoracic CT;spatial heterogeneity;3D discriminative features;data preprocessing strategy;redundant noise elimination;robust image representations;LIDC-IDRI benchmark dataset,"Deep Learning;Humans;Lung;Lung Neoplasms;Radiographic Image Interpretation, Computer-Assisted;Solitary Pulmonary Nodule;Tomography, X-Ray Computed",6,,59,IEEE,3-May-22,,,IEEE,IEEE Journals
Integrating Lung Parenchyma Segmentation and Nodule Detection With Deep Multi-Task Learning,W. Liu; X. Liu; H. Li; M. Li; X. Zhao; Z. Zhu,"Beijing Lab of Intelligent Information, School of Computer Science, Beijing Institute of Technology, Beijing, China; Beijing Lab of Intelligent Information, School of Computer Science, Beijing Institute of Technology, Beijing, China; Beijing Lab of Intelligent Information, School of Computer Science, Beijing Institute of Technology, Beijing, China; Department of Computer Science, Brunel University London, Uxbridge, Middlesex, U.K.; Department of Imaging Diagnosis Chinese, Cancer Hospital, Academy of Medical Sciences, Beijing, China; Department of Imaging Diagnosis Chinese, Cancer Hospital, Academy of Medical Sciences, Beijing, China",IEEE Journal of Biomedical and Health Informatics,5-Aug-21,2021,25,8,3073,3081,"Lung parenchyma segmentation is valuable for improving the performance of lung nodule detection in computed tomography (CT) images. Traditionally, the two tasks are performed separately. This paper proposes a deep multi-task learning (MTL) approach to integrate these tasks for better lung nodule detection. Three new ideas lead to our proposed approach. First, lung parenchyma segmentation is used as the attention module and is combined with nodule detection in a single deep network. Second, lung nodule detection is performed in an anchor-free manner by dividing it into two subtasks, nodule center identification and nodule size regression. Third, a novel pyramid dilated convolution block (PDCB) is proposed to utilize the advantage of dilated convolution and tackle its gridding problem for better lung parenchyma segmentation. Based on these ideas, we design our end-to-end deep network architecture and corresponding MTL method to achieve lung parenchyma segmentation and nodule detection simultaneously. We evaluate the proposed approach on the commonly used Lung Nodule Analysis 2016 (LUNA16) dataset. The experimental results show the value of our contributions and demonstrate that our approach can yield significant improvements compared with state-of-the-art counterparts.",2168-2208,,10.1109/JBHI.2021.3053023,"Beijing Municipal Science, and Technology Project(grant numbers:Z181100001918002); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9329031,Deep convolutional networks;lung nodule detection;lung paranchyma segmentation;multi-tasking learning,Lung;Image segmentation;Convolution;Computed tomography;Task analysis;Feature extraction;Three-dimensional displays,computerised tomography;image segmentation;learning (artificial intelligence);lung;medical image processing,lung nodule detection;nodule center identification;nodule size regression;lung parenchyma segmentation;commonly used Lung Nodule Analysis 2016 dataset;deep multitask learning,"Humans;Lung;Lung Neoplasms;Tomography, X-Ray Computed",10,,51,IEEE,20-Jan-21,,,IEEE,IEEE Journals
Efficient Lung Nodule Classification Using Transferable Texture Convolutional Neural Network,I. Ali; M. Muzammil; I. U. Haq; A. A. Khaliq; S. Abdullah,"Faculty of Engineering and Technology, International Islamic University, Islamabad, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Islamabad, Pakistan; Faculty of Engineering and Technology, International Islamic University, Islamabad, Islamabad, Pakistan",IEEE Access,1-Oct-20,2020,8,,175859,175870,"Lung nodules are vital indicators for the presence of lung cancer. An early detection enhances the survival rate of the patient by starting treatment at the right time. The detection and classification of malignancy in Computed Tomography (CT) images is a very time-consuming and difficult task for radiologists which lead the researchers to develop algorithms for Computer-Aided Diagnosis (CAD) systems to mitigate this burden. The performance of CAD systems is continuously improving by using various deep learning techniques for screening of lung cancer. In this paper, we proposed transferable texture Convolutional Neural Networks (CNN) to improve the classification performance of pulmonary nodules in CT scans. An Energy Layer (EL) is incorporated in our scheme, which extracts texture features from the convolutional layer. The inclusion of EL reduces the number of learnable parameters of the network, which further reduces the memory requirements and computational complexity. The proposed model has only three convolutional layers and one EL, instead of pooling layer. Overall proposed CNN architecture comprises of nine layers for automatic feature extraction and classification of pulmonary nodule candidates as malignant or benign. Furthermore, the pre-trained model of proposed CNN is also used to handle the smaller dataset classification problem by using transfer learning. This work has been evaluated on publicly available LIDC-IDRI and the LUNGx Challenge database through different evaluation matrices, such as; the accuracy, specificity, error rate and AUC. The proposed model is trained by six-fold cross-validation and achieved an accuracy score of 96.69%±0.72% with only 3.30%±0.72% error rate. Whereas, the measured AUC and recall is 99.11%±0.45% and 97.19%±0.57%, respectively. Moreover, we also tested our proposed technique on the MNIST dataset and achieved state-of-the-art results in terms of accuracy and error rate.",2169-3536,,10.1109/ACCESS.2020.3026080,Higher Education Commission(grant numbers:20-4849/NRPU/R&D/HEC/14/1215); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204580,Computed tomography;cancer detection;computer aided diagnosis;image classification;machine learning;transfer learning;lung nodule;CNN;LIDC-IDRI;LUNGx challenge,Lung;Feature extraction;Cancer;Databases;Computed tomography;Biomedical imaging;Task analysis,CAD;cancer;computerised tomography;convolutional neural nets;feature extraction;image classification;image segmentation;image texture;learning (artificial intelligence);lung;medical image processing,efficient lung nodule classification;transferable texture convolutional neural network;lung nodules;lung cancer;computed tomography images;computer-aided diagnosis systems;CAD systems;deep learning techniques;pulmonary nodules;energy layer;texture features;convolutional layer;computational complexity;feature extraction;pulmonary nodule;transfer learning;dataset classification problem;transferable texture convolutional neural networks;CT scan;LIDC-IDRI,,22,,55,CCBY,23-Sep-20,,,IEEE,IEEE Journals
HSN: Hybrid Segmentation Network for Small Cell Lung Cancer Segmentation,W. Chen; H. Wei; S. Peng; J. Sun; X. Qiao; B. Liu,"Department of Biomedical Engineering, Shandong University, Jinan, China; First Clinical Medical College, Shandong University of Traditional Chinese Medicine, Jinan, China; Department of Biomedical Engineering, Shandong University, Jinan, China; Department of Biomedical Engineering, Shandong University, Jinan, China; Department of Biomedical Engineering, Shandong University, Jinan, China; Department of Biomedical Engineering, Shandong University, Jinan, China",IEEE Access,19-Jun-19,2019,7,,75591,75603,"Small cell lung cancer (SCLC) is one of the most common types of malignant tumors, characterized by rapid growth and early metastasis spread. Early and accurate diagnosis of SCLC is vital for improved survival. Accurate cancer segmentation helps doctors understand the location and size of cancer and make better diagnostic decisions. However, manual segmentation of lung cancers from large amounts of medical images is a time-consuming and challenging task. In this paper, we propose a hybrid segmentation network (referred to as HSN) based on convolutional neural network (CNN) to automatically segment SCLC from computed tomography (CT) images. The design philosophy of our model is to combine a lightweight 3D CNN to learn long-range 3D contextual information and a 2D CNN to learn fine-grained semantic information, which is essential for accurate cancer segmentation. We propose a hybrid features fusion module to effectively fuse the 2D and 3D features and to jointly train these two CNNs. We utilize a generalized Dice loss function to tackle the severe class imbalance problem in data. A dataset consists of 134 CT scans was constructed to evaluate our model. Our model achieved high performances with a mean Dice score of 0.888, a mean sensitivity score of 0.872 and a mean precision of 0.909, outperforming the other state-of-the-art 2D and 3D CNN methods by a large margin.",2169-3536,,10.1109/ACCESS.2019.2921434,"Department of Science and Technology of Shandong Province(grant numbers:2017CXGC1502); Natural Science Foundation of Shandong Province(grant numbers:ZR2014HQ054); National Natural Science Foundation of China(grant numbers:61603218,U1806202); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8732325,Small cell lung cancer;CT;deep convolutional neural network;hybrid features fusion,Three-dimensional displays;Cancer;Two dimensional displays;Computed tomography;Image segmentation;Lung;Biomedical imaging,cancer;computerised tomography;convolutional neural nets;feature extraction;image fusion;image segmentation;lung;medical image processing;patient diagnosis;tumours,CNN;computed tomography images;long-range 3D contextual information;accurate cancer segmentation;hybrid features fusion module;HSN;hybrid segmentation network;small cell lung cancer segmentation;early metastasis spread;convolutional neural network;malignant tumors;accurate SCLC diagnosis;generalized Dice loss function;2D feature fusion;3D feature fusion,,23,,38,OAPA,6-Jun-19,,,IEEE,IEEE Journals
A Lightweight Multi-Section CNN for Lung Nodule Classification and Malignancy Estimation,P. Sahu; D. Yu; M. Dasari; F. Hou; H. Qin,"Department of Computer Science, Stony Brook University, Stony Brook, NY, USA; Martin Tuchman School of Management, New Jersey Institute of Technology, Newark, NJ, USA; Department of Computer Science, Stony Brook University, Stony Brook, NY, USA; State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Science, Beijing, China; Department of Computer Science, Stony Brook University, Stony Brook, NY, USA",IEEE Journal of Biomedical and Health Informatics,3-May-19,2019,23,3,960,968,"The size and shape of a nodule are the essential indicators of malignancy in lung cancer diagnosis. However, effectively capturing the nodule's structural information from CT scans in a computer-aided system is a challenging task. Unlike previous models that proposed computationally intensive deep ensemble models or three-dimensional CNN models, we propose a lightweight, multiple view sampling based multi-section CNN architecture. The model obtains a nodule's cross sections from multiple view angles and encodes the nodule's volumetric information into a compact representation by aggregating information from its different cross sections via a view pooling layer. The compact feature is subsequently used for the task of nodule classification. The method does not require the nodule's spatial annotation and works directly on the cross sections generated from volume enclosing the nodule. We evaluated the proposed method on lung image database consortium (LIDC) and image database resource initiative (IDRI) dataset. It achieved the state-of-the-art performance with a mean 93.18% classification accuracy. The architecture could also be used to select the representative cross sections determining the nodule's malignancy that facilitates in the interpretation of results. Because of being lightweight, the model could be ported to mobile devices, which brings the power of artificial intelligence (AI) driven application directly into the practitioner's hand.",2168-2208,,10.1109/JBHI.2018.2879834,Brookhaven National Laboratory and National Science Foundation(grant numbers:NSF IIS-1715985); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525322,Lung cancer;deep learning;nodule classification;transfer Learning;spherical sampling,Lung;Cancer;Three-dimensional displays;Training;Task analysis;Computational modeling;Feature extraction,cancer;computerised tomography;image classification;lung;medical image processing;visual databases,nodule's malignancy;image database resource initiative dataset;lung image database consortium;pooling layer;classification accuracy;compact feature;compact representation;multiple view angles;multisection CNN architecture;multiple view sampling;lightweight view sampling;three-dimensional CNN models;computer-aided system;CT scans;lung cancer diagnosis;malignancy estimation;lung nodule classification;lightweight multisection CNN,"Algorithms;Humans;Imaging, Three-Dimensional;Lung;Lung Neoplasms;Neural Networks, Computer;ROC Curve;Solitary Pulmonary Nodule;Tomography, X-Ray Computed",41,,31,IEEE,6-Nov-18,,,IEEE,IEEE Journals
A Deep Model for Lung Cancer Type Identification by Densely Connected Convolutional Networks and Adaptive Boosting,S. Pang; Y. Zhang; M. Ding; X. Wang; X. Xie,"College of Computer Science and Technology, China University of Petroleum, Qingdao, China; College of Computer Science and Technology, China University of Petroleum, Qingdao, China; Department of Neurology, The Second Hospital of Shandong University, Jinan, China; College of Computer Science and Technology, China University of Petroleum, Qingdao, China; Department of Respiratory Medicine, Shandong Provincial Third Hospital, Jinan, China",IEEE Access,9-Jan-20,2020,8,,4799,4805,"Timely diagnosis and determination to the type of lung cancer has important clinical significance. Generally, it requires multiple imaging methods to complement each other to obtain a comprehensive diagnosis. In this work, we propose a deep learning model to identify lung cancer type from CT images for patients in Shandong Provincial Hospital. It has a two-fold challenge: artificial intelligent models trained by public datasets cannot meet such practical requires, and the amount of collected patients' data is quite few. To solve the two-fold problem, we use image rotation, translation and transformation methods to expand and balance our training data, and then densely connected convolutional networks (DenseNet) is used to classify malignant tumor from images collected from, and finally adaptive boosting (adaboost) algorithm is used to aggregate multiple classification results to improve classification performance. Experimental results show that our method can achieve identifying accuracy 89.85%, which performs better than DenseNet without adaboost, ResNet, VGG16 and AlexNet. This provides an efficient, non-invasive detection tool for pathological diagnosis to lung cancer type.",2169-3536,,10.1109/ACCESS.2019.2962862,"National Natural Science Foundation of China(grant numbers:61572523,61502535,61972416); Key Technology Research and Development Program of Shandong(grant numbers:2019GGX101067); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945194,Adaboost algorithm;data enhancement;densely connected convolutional networks;lung cancer,Lung cancer;Convolution;Training;Computed tomography;Computational modeling;Hospitals,cancer;computerised tomography;convolutional neural nets;diseases;image classification;learning (artificial intelligence);lung;medical image processing;patient diagnosis;tumours,AlexNet;VGG16;ResNet;DenseNet;malignant tumor classification;noninvasive detection tool;Shandong provincial hospital;adaboost algorithm;image rotation;artificial intelligent models;CT images;deep learning model;comprehensive diagnosis;multiple imaging methods;important clinical significance;lung cancer type identification;pathological diagnosis;multiple classification results;adaptive boosting algorithm;densely connected convolutional networks,,17,,30,CCBY,30-Dec-19,,,IEEE,IEEE Journals
