Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Xu B., Zhou D., Li W.",57232013200;57559593400;57560695500;,Image Enhancement Algorithm Based on GAN Neural Network,2022,IEEE Access,10,,,36766,36777,,5,10.1109/ACCESS.2022.3163241,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127490368&doi=10.1109%2fACCESS.2022.3163241&partnerID=40&md5=c6c2d846fc81a5320cc2e0be3930f58b,"School of Electronic Computer Engineering, Hainan Vocational University of Science and Technology, Hainan, 570100, China; Library, China Jiliang University, Zhejiang, Hangzhou, 310018, China; Department of Electronic Science and Engineering, North China Electrical Power University, Beijing, 100096, China","Xu, B., School of Electronic Computer Engineering, Hainan Vocational University of Science and Technology, Hainan, 570100, China; Zhou, D., Library, China Jiliang University, Zhejiang, Hangzhou, 310018, China; Li, W., Department of Electronic Science and Engineering, North China Electrical Power University, Beijing, 100096, China","Deep underwater color images have problems such as low brightness, poor contrast, and loss of local details. In order to effectively enhance low-quality underwater images, this paper proposes an enhancement method based on GAN (Generative Adversarial Network). This paper studies low-light image enhancement algorithms, aiming to improve the quality of low-light images by studying some technical means and methods, and restore the original scene information of low-quality images, so as to obtain natural and clear images with complete details and structural information. In order to verify the effectiveness of this method, image databases such as DIARETDB0 and SID are used as the research object, combined with multi-scale Retinex color reproduction contrast-constrained adaptive histogram equalization to compare the performance of the enhanced algorithm. The results show that the processed image is better than other image enhancement methods in terms of color protection, contrast enhancement, and image detail enhancement. The proposed method significantly improves the indicators proposed in the article. © 2013 IEEE.",deep learning; GAN; image enhancement; Underwater image enhancement,Color; Deep neural networks; Image enhancement; Underwater imaging; Colour image; Convolutional neural network; Deep learning; Image color analysis; Image enhancement algorithm; Low qualities; Low-light images; Neural-networks; Quality image; Underwater image enhancements; Generative adversarial networks,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85127490368
"Yuan H., Wu Y., Cheng J., Fan Z., Zeng Z.",9635081800;57234095500;57234584900;57223053102;57393345100;,Pulmonary Nodule Detection Using 3-D Residual U-Net Oriented Context-Guided Attention and Multi-Branch Classification Network,2022,IEEE Access,10,,,82,98,,2,10.1109/ACCESS.2021.3137317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122075051&doi=10.1109%2fACCESS.2021.3137317&partnerID=40&md5=22c887d3caa95bcb7ec8a58d27e926f8,"Faculty of Information Technology, Beijing University of Technology, Beijing, China","Yuan, H., Faculty of Information Technology, Beijing University of Technology, Beijing, China; Wu, Y., Faculty of Information Technology, Beijing University of Technology, Beijing, China; Cheng, J., Faculty of Information Technology, Beijing University of Technology, Beijing, China; Fan, Z., Faculty of Information Technology, Beijing University of Technology, Beijing, China; Zeng, Z., Faculty of Information Technology, Beijing University of Technology, Beijing, China","Accurate detection of pulmonary nodules on chest computed tomography scans is crucial to early diagnosis of lung cancer. To address the thorn problems on low detection sensitivity and high false-positive rate caused by heterogeneity and morphological complexity of 3-D nodule features, a computer-aided detection system is developed to increase the detection sensitivity and classification accuracy of pulmonary nodules. The contributions include: (1) Nodule candidate detection: 3-D Residual U-Net model is improved to detect candidate nodules, which constructs 3-D context-guided module to extract local and global nodule features by setting the dilated convolution with different dilation rates. Furthermore, channel attention mechanism is used to dynamically adjust the channel features, which enhances the generalization and expression ability of the detection-network to effectively learn 3-D spatial context features. (2) False-positive reduction: multi-branch classification network is designed for multi-task learning. Image reconstruction task is performed to retain more microscopic nodules information from convolutional neural network (CNN) hierarchy. Moreover, each branch deals with the feature map at corresponding depth layers, and then all branches' feature maps are combined together to perform nodule classification task. Numerous experimental results show that the proposed system is perfectly qualified for pulmonary nodules detection on Lung Nodules Analysis 2016 dataset, which achieves detection sensitivity up to 94.0% and competition performance metric (CPM) score up to 0.959. © 2013 IEEE.",3-D context-guided attention module; convolutional neural network; multi-branch classification; multi-task learning; pulmonary nodule detection,Classification (of information); Computer aided diagnosis; Computerized tomography; Convolution; Convolutional neural networks; Diseases; Feature extraction; Image reconstruction; Learning systems; Medical imaging; Positron emission tomography; Three dimensional computer graphics; Three dimensional displays; 3d context-guided attention module; Classification networks; Convolutional neural network; Detection sensitivity; Features extraction; Lung Cancer; Multi-branch classification; Pulmonary nodule detection; Three-dimensional display; Biological organs,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85122075051
"Oh S., Im J., Kang S.-R., Oh I.-J., Kim M.-S.",57211268205;57274090800;37101517500;7101831082;57207922626;,PET-Based Deep-Learning Model for Predicting Prognosis of Patients with Non-Small Cell Lung Cancer,2021,IEEE Access,9,,,138753,138761,,2,10.1109/ACCESS.2021.3115486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115745897&doi=10.1109%2fACCESS.2021.3115486&partnerID=40&md5=2f5f0cbf33392d32a4b7f5ded48d0d37,"Department of Mathematics and Statistics, Chonnam National University, Buk-gu, Gwangju, 61186, South Korea; Department of Nuclear Medicine, Chonnam National University Medical School and Hwasun Hospital, Jeonnam, 58128, South Korea; Department of Internal Medicine, Chonnam National University Medical School and Hwasun Hospital, Jeonnam, 58128, South Korea","Oh, S., Department of Mathematics and Statistics, Chonnam National University, Buk-gu, Gwangju, 61186, South Korea; Im, J., Department of Mathematics and Statistics, Chonnam National University, Buk-gu, Gwangju, 61186, South Korea; Kang, S.-R., Department of Nuclear Medicine, Chonnam National University Medical School and Hwasun Hospital, Jeonnam, 58128, South Korea; Oh, I.-J., Department of Internal Medicine, Chonnam National University Medical School and Hwasun Hospital, Jeonnam, 58128, South Korea; Kim, M.-S., Department of Mathematics and Statistics, Chonnam National University, Buk-gu, Gwangju, 61186, South Korea","Despite recent advances in precision medicine, lung cancer remains the leading cause of cancer-related mortality worldwide. To determine the prognosis of non-small cell lung cancer (NSCLC), which accounts for 85% of lung cancer, comprehensive analysis of various clinical factors are necessary. Artificial intelligence can help physician quickly identify key information from the vast amount of medical information including positron emission tomography (PET) scan. In this study, we compared image feature-extraction models and survival estimation models to determine an optimal model that effectively extracts features related to survival time. We collected PET image data of 2,685 patients who were diagnosed with NSCLC and received treatment at the Chonnam National University Hwasun Hospital in South Korea over a period of seven years. We compared four convolution neural network models, DenseNet, NFNet, EfficientNet, and ResNet, and two survival estimation models, CoxPH and CoxCC. The best model was determined based on criteria such as C-index, mean absolute error (MAE), classification accuracy for survival status, and learning time. The results show that DenseNet combined with CoxPH delivers superior performance for most of the criteria. In particular, the MAE for this combination was very low (391.50 days), and the model predicted survival days well; the five-year classification accuracy, which can indicate a cure for cancer, was high (95%). Extracted features were visualized using Score-CAM; thus, the learning process of the model could be understood without requiring expert knowledge of PET. In addition, the learning time for this model was short. © 2013 IEEE.",Convolutional neural network; CoxCC; CoxPH; F-18 fluorodeoxyglucose; non-small cell lung cancer prognosis; positron emission tomography; Score-CAM,Biological organs; Cams; Convolution; Deep learning; Diagnosis; Diseases; Neural networks; Patient treatment; Positrons; Cancer prognosis; Convolutional neural network; CoxCC; CoxPH; F-18 fluorodeoxyglucose; Fluorodeoxyglucose; Lung Cancer; Non small cell lung cancer; Non-small cell lung cancer prognose; Score-CAM; Positron emission tomography,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85115745897
"Zainab Yousuf Zaidi S., Usman Akram M., Jameel A., Alghamdi N.S.",57255360400;24474159700;56038571700;57215928438;,Lung Segmentation-Based Pulmonary Disease Classification Using Deep Neural Networks,2021,IEEE Access,9,,,125202,125214,,2,10.1109/ACCESS.2021.3110904,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114744818&doi=10.1109%2fACCESS.2021.3110904&partnerID=40&md5=37b88cba87fac5c6de2af75a4a6b1a33,"Department of Computer Science, Bahria University, Islamabad, 44000, Pakistan; Department of Computer and Software Engineering, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan; Department of Software Engineering, Bahria University, Karachi, 75260, Pakistan; College of Computer and Information Sciences, Princess Nourah Bint Abdulrahman University, Riyadh, 11671, Saudi Arabia","Zainab Yousuf Zaidi, S., Department of Computer Science, Bahria University, Islamabad, 44000, Pakistan; Usman Akram, M., Department of Computer and Software Engineering, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan; Jameel, A., Department of Software Engineering, Bahria University, Karachi, 75260, Pakistan; Alghamdi, N.S., College of Computer and Information Sciences, Princess Nourah Bint Abdulrahman University, Riyadh, 11671, Saudi Arabia","Interpreting chest x-ray (CXR) to find anomalies in the thoracic region is a tedious job and can consume an ample amount of radiologist's time when there are thousands of them to process. In such scenarios, the Computer-Aided Diagnostic (CAD) systems can help radiologists by doing the trivial processing and presenting the information in a meaningful way so that, the radiologist can make more accurate decisions by spending less amount of time and energy. This research study intends to propose a better, accurate, and efficient CNN based pulmonary disease diagnosis system using CXR images. In the proposed system, the capabilities of deep neural network architecture are exploited by proposing a custom CNN architecture with additional layers and modified hyperparameters to meet the required results. The input CXR is examined for healthy or infected at the surface level and the infected images are further processed for class level label classification. The lung region is segmented from the entire input CXR image to reduce the amount of noise and increase the processing efficiency by processing less overall information. The proposed model is evaluated on the benchmark split of the NIH chest x-ray dataset and achieves better segmentation and classification results when compared to the state of the art approaches. © 2013 IEEE.",Chest x-rays; classification; convolutional neural network; deep learning; pulmonary diseases; segmentation,Biological organs; Classification (of information); Diagnosis; Image processing; Multilayer neural networks; Network architecture; Pulmonary diseases; X rays; Classification results; Computer aided diagnostics; Disease diagnosis; Hyperparameters; Lung segmentation; Pulmonary disease classification; Research studies; State-of-the-art approach; Deep neural networks,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85114744818
"Chen Y., Wang Y., Hu F., Feng L., Zhou T., Zheng C.",55870779500;57209144813;57211040846;57222570408;57222575468;57222579906;,Ldnnet: Towards robust classification of lung nodule and cancer using lung dense neural network,2021,IEEE Access,9,,9386129,50301,50320,,8,10.1109/ACCESS.2021.3068896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103296627&doi=10.1109%2fACCESS.2021.3068896&partnerID=40&md5=74937d54ee3faf97b80405bcce3dca86,"School of Software, Nanchang Hangkong University, Nanchang, 330063, China","Chen, Y., School of Software, Nanchang Hangkong University, Nanchang, 330063, China; Wang, Y., School of Software, Nanchang Hangkong University, Nanchang, 330063, China; Hu, F., School of Software, Nanchang Hangkong University, Nanchang, 330063, China; Feng, L., School of Software, Nanchang Hangkong University, Nanchang, 330063, China; Zhou, T., School of Software, Nanchang Hangkong University, Nanchang, 330063, China; Zheng, C., School of Software, Nanchang Hangkong University, Nanchang, 330063, China","Lung nodule classification plays an important role in diagnosis of lung cancer which is essential to patients' survival. However, because the number of lung CT images in current dataset is relatively small and the ratio of nodule samples to non-nodule samples is usually very different, this makes the training of neural networks difficult and poor performance of neural networks. Hence, LDNNET is proposed, which adopts Dense-Block, batch normalization (BN) and dropout to cope with these problems. Meanwhile, LDNNET is an adaptive architecture based on convnets combining softmax classifier which is utilized to alleviate the problems of training deep convnets. Follows are our main work: Firstly, we utilized LDNNET on database LUng Nodule Analysis 2016 (LUNA16) for lung nodule classification and database KAGGLE DATA-SCIENCE-BOWL-2017(Kaggle DSB 2017) for lung cancer classification; Secondly, the comparison experiments are designed to compare the performance of dense connection, pooling layer and the input pixel size of lung CT(Computed Tomography) images; Thirdly, data enhancement, dense connection and dropout layer were utilized in LDNNET to reduce overfitting; Fourthly, pre-processing methods, for instance enhanced contrast, median filtering, Laplacian filtering are compared to the no-processing method to explore the effect of pre-processing on lung CT images classification. Fifthly, accuracy, specificity and sensitivity on LUNA16 are 0.988396, 0.994585 and 0.982072 and these indicators on Kaggle DSB 2017 are 0.999480, 0.999652 and 0.998974. Furthermore, AUC for both two datasets is over 0.98. Consequently, this paper conducts experiments with uniform parameter settings on two publicly available databases and shows that even in challenging situation where lung images are directly utilized as input images without preprocessing, LDNNET is still the more advanced algorithm than other recent algorithms respectively. Moreover, a series of comparative experiments were conducted to further confirm that the proposed algorithm has the higher accuracy and robustness through verification and discussion. © 2013 IEEE.",classification; Deep dense neural network; lung cancer; lung nodule,Classification (of information); Computer aided diagnosis; Computerized tomography; Convolutional neural networks; Data Science; Database systems; Diseases; Image enhancement; Median filters; Processing; Adaptive architecture; Comparative experiments; Diagnosis of lung cancer; Enhanced contrast; Parameter setting; Pre-processing method; Processing method; Robust classification; Biological organs,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85103296627
"Zhang H., Lai H., Wang Y., Lv X., Hong Y., Peng J., Zhang Z., Chen C., Chen C.",57222405149;57193405714;57221509994;36149385700;57218527607;57222406776;57215061375;57201197524;57211218832;,Research on the Classification of Benign and Malignant Parotid Tumors Based on Transfer Learning and a Convolutional Neural Network,2021,IEEE Access,9,,9373340,40360,40371,,10,10.1109/ACCESS.2021.3064752,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102619943&doi=10.1109%2fACCESS.2021.3064752&partnerID=40&md5=f6b216da5e5f980558a282829df749d8,"College of Information Science and Engineering, Xinjiang University, Urumqi, China; Radiology Center, People's Hospital of Xinjiang Uygur Autonomous Region, Urumqi, China; College of Software, Xinjiang University, Urumqi, China; Key Laboratory of Signal Detection and Processing, Xinjiang University, Urumqi, 830001, China; Department of Information, People's Hospital of Xinjiang Uygur Autonomous Region, Urumqi, China","Zhang, H., College of Information Science and Engineering, Xinjiang University, Urumqi, China, Key Laboratory of Signal Detection and Processing, Xinjiang University, Urumqi, 830001, China; Lai, H., College of Information Science and Engineering, Xinjiang University, Urumqi, China, Key Laboratory of Signal Detection and Processing, Xinjiang University, Urumqi, 830001, China; Wang, Y., Radiology Center, People's Hospital of Xinjiang Uygur Autonomous Region, Urumqi, China; Lv, X., College of Software, Xinjiang University, Urumqi, China, Key Laboratory of Signal Detection and Processing, Xinjiang University, Urumqi, 830001, China; Hong, Y., Radiology Center, People's Hospital of Xinjiang Uygur Autonomous Region, Urumqi, China; Peng, J., Department of Information, People's Hospital of Xinjiang Uygur Autonomous Region, Urumqi, China; Zhang, Z., College of Information Science and Engineering, Xinjiang University, Urumqi, China; Chen, C., College of Information Science and Engineering, Xinjiang University, Urumqi, China; Chen, C., College of Information Science and Engineering, Xinjiang University, Urumqi, China","The classification of benign and malignant parotid tumors is very crucial for the selection of surgical methods and their prognoses. The wide application of deep learning technology in the field of medical imaging also provides new ideas for the computer-aided diagnosis of parotid gland tumors. In addition, because the pathological types of parotid gland tumors are very complicated and the computed tomography (CT) images of benign and malignant patients are also very similar, some clinicians may misjudge tumors due to a lack of experience, which affects the effect of surgical treatment and prognosis. Therefore, this research proposes using deep learning methods to solve this problem. This study uses the four classic pretraining models of VGG16, InceptionV3, ResNet and DenseNet to classify parotid CT images using transfer learning methods and uses an improved convolutional neural network (CNN) model to classify parotid CT images. The experimental results show that the improved CNN model achieves an accuracy of 97.78%, and its classification performance is better than those of the other four transfer learning methods. It can effectively diagnose benign and malignant parotid tumors and improve the diagnostic accuracy. © 2013 IEEE.",convolutional neural network; CT image; deep learning; Parotid gland tumor; transfer learning,Computer aided diagnosis; Computer aided instruction; Computerized tomography; Convolution; Convolutional neural networks; Deep learning; Image classification; Image enhancement; Medical imaging; Surgery; Transfer learning; Tumors; Classification performance; Diagnostic accuracy; Learning methods; Learning technology; Malignant parotid tumors; Parotid gland tumors; Surgical treatment; Transfer learning methods; Learning systems,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85102619943
"Tang S., Ma R., Li Q., Bai Y., Chen S.",57218674353;57218143894;57222171722;57222168241;57222169415;,Classification of Benign and Malignant Pulmonary Nodules Based on the Multiresolution 3D DPSECN Model and Semisupervised Clustering,2021,IEEE Access,9,,9357428,43397,43410,,4,10.1109/ACCESS.2021.3060178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101743287&doi=10.1109%2fACCESS.2021.3060178&partnerID=40&md5=58b5f8dc9d8cdc5993b28d520b3b9a83,"Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; School of Artificial Intelligence, Beijing Normal University, Beijing, China; Department of Respiratory, Zhuji People's Hospital of Zhejiang Province, Zhuji, China","Tang, S., Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; Ma, R., School of Artificial Intelligence, Beijing Normal University, Beijing, China; Li, Q., Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; Bai, Y., Baotou Medical College, Inner Mongolia University of Science and Technology, Baotou, China; Chen, S., Department of Respiratory, Zhuji People's Hospital of Zhejiang Province, Zhuji, China","Deep learning model training requires a large number of labeled samples, but the acquisition of labeled samples is time-consuming and laborious in the medical field. To solve this problem, a semisupervised clustering algorithm combined with a 3D convolutional neural network model is proposed to improve the classification performance for benign and malignant pulmonary nodules. The research contents are as follows: Firstly, a multiresolution 3D dual path squeeze excitation deep learning network model is constructed. Then, the feature extractor in the network model is used to extract the high-level features of the image, and semisupervised clustering is applied to the extracted image features. The corresponding pseudolabels can be obtained for the unlabeled samples, and the categories of unlabeled samples are determined and utilized. Finally, the oversampling algorithm is used to balance the data categories of different types of samples, and the benign and malignant pulmonary nodules are classified by a classifier constructed by a 3D dual path squeeze excitation network. The experimental results show that the proposed semisupervised clustering algorithm can label the categories of unlabeled samples. The proposed network model can learn more characteristics related to pulmonary nodules and can effectively improve the classification performance of pulmonary nodules. The proposed network model was tested using Lung Image Database Consortium (LIDC-IDRI) dataset, and an accuracy of 94.4% and an AUC of 0.931 were obtained. Compared with some existing classification models, the proposed method can achieve a better classification effect of pulmonary nodules. © 2013 IEEE.",benign and malignant classification of pulmonary nodules; Deep learning; LIDC-IDRI dataset; multiresolution 3D dual path squeeze excitation deep learning network model; semisupervised clustering algorithm,3D modeling; Convolutional neural networks; Deep learning; Learning systems; Three dimensional computer graphics; Classification models; Classification performance; Feature extractor; High-level features; Pulmonary nodules; Semi-supervised Clustering; Semi-supervised clustering algorithms; Unlabeled samples; Clustering algorithms,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85101743287
"Ye Y., Tian M., Liu Q., Tai H.-M.",57222473637;55918225100;57168976100;7201667648;,Pulmonary Nodule Detection Using V-Net and High-Level Descriptor Based SVM Classifier,2020,IEEE Access,8,,,176033,176041,,12,10.1109/ACCESS.2020.3026168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102816148&doi=10.1109%2fACCESS.2020.3026168&partnerID=40&md5=7a847dff5e88573db277db402086300b,"Department of Electrical and Computer Engineering, University of Tulsa, Tulsa, OK  74104, United States; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Department of Radiology, Mianyang Central Hospital, Mianyang, 621000, China","Ye, Y., Department of Electrical and Computer Engineering, University of Tulsa, Tulsa, OK  74104, United States; Tian, M., School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China; Liu, Q., Department of Radiology, Mianyang Central Hospital, Mianyang, 621000, China; Tai, H.-M., Department of Electrical and Computer Engineering, University of Tulsa, Tulsa, OK  74104, United States","Early detection of the pulmonary nodule is critical to increase the five-year survival rate of lung cancer. Many computer-Aided diagnosis (CAD) systems have been proposed for nodule detection to assist radiologists in diagnosis. Along this direction, this paper proposes a novel automated pulmonary nodule detection model using the modified V-Nets and a high-level descriptor based support vector machine (SVM) classifier. The former is for nodule candidate detection and the latter is for false positive (FP) reduction. A hard mining scheme for retraining is devised to improve the FP reduction performance. The proposed SVM classifier, which employs more critical features of CT images, performs superior in FP reduction than other SVM based classifiers and CNN classifiers. Experimental results using the LIDC-IDRI dataset are presented to demonstrate the effectiveness of the proposed CAD model. © 2020 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.",,Computer aided diagnosis; Computerized tomography; Computer Aided Diagnosis(CAD); Critical features; High-level descriptor; Nodule detection; Pulmonary nodule detection; Pulmonary nodules; SVM classifiers; SVM-based classifiers; Support vector machines,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85102816148
"Al-Shabi M., Lee H.K., Tan M.",57195642405;12544939000;55918248800;,Gated-Dilated Networks for Lung Nodule Classification in CT Scans,2019,IEEE Access,7,,8930524,178827,178838,,22,10.1109/ACCESS.2019.2958663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077200867&doi=10.1109%2fACCESS.2019.2958663&partnerID=40&md5=d57e6607e7a72f51a00aaf7f4625276a,"Electrical and Computer Systems Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, 47500, Malaysia; Bioinformatics Institute, Agency for Science, Technology and Research (ASTAR), Singapore, 138671, Singapore; Image and Pervasive Access Laboratory (IPAL), CNRS UMI 2955, Singapore, 138632, Singapore; Singapore Eye Research Institute, Singapore, 169856, Singapore; School of Electrical and Computer Engineering, University of Oklahoma, Norman, OK  73019, United States","Al-Shabi, M., Electrical and Computer Systems Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, 47500, Malaysia; Lee, H.K., Bioinformatics Institute, Agency for Science, Technology and Research (ASTAR), Singapore, 138671, Singapore, Image and Pervasive Access Laboratory (IPAL), CNRS UMI 2955, Singapore, 138632, Singapore, Singapore Eye Research Institute, Singapore, 169856, Singapore; Tan, M., Electrical and Computer Systems Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, 47500, Malaysia, School of Electrical and Computer Engineering, University of Oklahoma, Norman, OK  73019, United States","Different types of Convolutional Neural Networks (CNNs) have been applied to detect cancerous lung nodules from computed tomography (CT) scans. However, the size of a nodule is very diverse and can range anywhere between 3 and 30 millimeters. The high variation of nodule sizes makes classifying them a difficult and challenging task. In this study, we propose a novel CNN architecture called Gated-Dilated (GD) networks to classify nodules as malignant or benign. Unlike previous studies, the GD network uses multiple dilated convolutions instead of max-poolings to capture the scale variations. Moreover, the GD network has a Context-Aware sub-network that analyzes the input features and guides the features to a suitable dilated convolution. We evaluated the proposed network on more than 1,000 CT scans from the LIDC-LDRI dataset. Our proposed network outperforms state-of-the-art baseline models including Multi-Crop, Resnet, and Densenet, with an AUC of >0.95. Compared to the baseline models, the GD network improves the classification accuracies of mid-range sized nodules. Furthermore, we observe a relationship between the size of the nodule and the attention signal generated by the Context-Aware sub-network, which validates our new network architecture. © 2019 IEEE.",attention network; computed tomography; convolutional neural network; dilated convolution; Lung cancer,Biological organs; Convolution; Network architecture; Neural networks; Baseline models; Classification accuracy; Computed tomography scan; Context-Aware; Convolutional neural network; Input features; Lung Cancer; State of the art; Computerized tomography,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85077200867
"Monkam P., Qi S., Ma H., Gao W., Yao Y., Qian W.",57196191821;36572483500;57189390821;57209639765;7403567421;36842193500;,Detection and Classification of Pulmonary Nodules Using Convolutional Neural Networks: A Survey,2019,IEEE Access,7,,8736217,78075,78091,,48,10.1109/ACCESS.2019.2920980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068340428&doi=10.1109%2fACCESS.2019.2920980&partnerID=40&md5=e11dd22c83fc710bf1aa0c9d17016cea,"Sino-Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, 110169, China; Key Laboratory of Medical Image Computing, Ministry of Education, Northeastern University, Shenyang, 110169, China; Neusoft Research of Intelligent Healthcare Technology, Company, Ltd., Shenyang, 110169, China; Shenzhen Qianhai AnyCheck Information Technology Co., Ltd., Shenzhen, 518057, China; Deparment of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ  07030, United States; College of Engineering, University of Texas at El Paso, El Paso, TX  79902, United States","Monkam, P., Sino-Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, 110169, China; Qi, S., Sino-Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, 110169, China, Key Laboratory of Medical Image Computing, Ministry of Education, Northeastern University, Shenyang, 110169, China, Neusoft Research of Intelligent Healthcare Technology, Company, Ltd., Shenyang, 110169, China; Ma, H., Sino-Dutch Biomedical and Information Engineering School, Northeastern University, Shenyang, 110169, China; Gao, W., Shenzhen Qianhai AnyCheck Information Technology Co., Ltd., Shenzhen, 518057, China; Yao, Y., Deparment of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ  07030, United States; Qian, W., College of Engineering, University of Texas at El Paso, El Paso, TX  79902, United States","CT screening has been proven to be effective for diagnosing lung cancer at its early manifestation in the form of pulmonary nodules, thus decreasing the mortality. However, the exponential increase of image data makes their accurate assessment a very challenging task given that the number of radiologists is limited and they have been overworked. Recently, numerous methods, especially ones based on deep learning with convolutional neural network (CNN), have been developed to automatically detect and classify pulmonary nodules in medical images. In this paper, we present a comprehensive analysis of these methods and their performances. First, we briefly introduce the fundamental knowledge of CNN as well as the reasons for their suitability to medical images analysis. Then, a brief description of various medical images datasets, as well as the environmental setup essential for facilitating lung nodule investigations with CNNs, is presented. Furthermore, comprehensive overviews of recent progress in pulmonary nodule analysis using CNNs are provided. Finally, existing challenges and promising directions for further improving the application of CNN to medical images analysis and pulmonary nodule assessment, in particular, are discussed. It is shown that CNNs have transformed greatly the early diagnosis and management of lung cancer. We believe that this review will provide all the medical research communities with the necessary knowledge to master the concept of CNN so as to utilize it for improving the overall human healthcare system. © 2019 IEEE.",computed tomography (CT) images; convolutional neural networks; deep learning; image classification; Lung cancer; pulmonary nodules,Biological organs; Computerized tomography; Convolution; Deep learning; Deep neural networks; Diagnosis; Diseases; Image analysis; Image classification; Medical imaging; Neural networks; Positron emission tomography; Comprehensive analysis; Convolutional neural network; Exponential increase; Health-care system; Lung Cancer; Medical research; Pulmonary nodules; Recent progress; Image enhancement,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85068340428
